0 : , P0: 1 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 1 , P6: 1 , P7: 0 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
1 : , P0: 0 , P1: 1 , P2: 1 , P5: 0 , P3: 0 , P4: 1 , P6: 1 , P7: 0 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
2 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 1 , P6: 1 , P7: 0 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
3 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 1 , P4: 1 , P6: 1 , P7: 0 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
4 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 1 , P7: 0 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
5 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 1 , P7: 0 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
6 : , P0: 0 , P1: 0 , P2: 0 , P5: 1 , P3: 0 , P4: 0 , P6: 1 , P7: 0 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
7 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
8 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
9 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
10 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
11 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 0 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
12 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 1 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
13 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 1 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
14 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 1 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
15 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 1 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
16 : , P0: 0 , P1: 0 , P2: 0 , P5: 0 , P3: 0 , P4: 0 , P6: 0 , P7: 1 , P8: 1 , P9: 0 , P10: 0 , P11: 0 , P12: 0 , P13: 0 
